sample_id,v_A,v_B,mechanism,reserve_regime,reserve,bid_A,bid_B,winner,no_allocation,payment,winner_value,winner_utility,user_compensation,highest_value_platform,highest_value_platform_won,allocative_efficiency,efficient_given_allocation
24,0.08848372825246464,0.7315382885347909,first_price,locked,0.5,,0.5366419501875946,B,False,0.5366419501875946,0.7315382885347909,0.19489633834719622,0.5366419501875946,B,True,1.0,1.0
25,0.9140533009488766,0.06732560405381482,first_price,locked,0.5,0.5937801635028774,,A,False,0.5937801635028774,0.9140533009488766,0.32027313744599917,0.5937801635028774,A,True,1.0,1.0
26,0.13178253397002204,0.13460778218998248,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
27,0.626766435067227,0.4296985630938005,first_price,locked,0.5,0.5128195513995017,,A,False,0.5128195513995017,0.626766435067227,0.11394688366772521,0.5128195513995017,A,True,1.0,1.0
28,0.9004857821498226,0.17737701781677628,first_price,locked,0.5,0.5890568540245257,,A,False,0.5890568540245257,0.9004857821498226,0.3114289281252969,0.5890568540245257,A,True,1.0,1.0
29,0.4076563484627981,0.9288983128083946,first_price,locked,0.5,,0.5990171691526325,B,False,0.5990171691526325,0.9288983128083946,0.32988114365576215,0.5990171691526325,B,True,1.0,1.0
30,0.42852101519318553,0.951253876338505,first_price,locked,0.5,,0.6070324473705822,B,False,0.6070324473705822,0.951253876338505,0.34422142896792285,0.6070324473705822,B,True,1.0,1.0
31,0.6009920797114758,0.591882981797754,first_price,locked,0.5,0.5084854696998217,0.5071318846830193,A,False,0.5084854696998217,0.6009920797114758,0.09250661001165417,0.5084854696998217,A,True,1.0,1.0
32,0.2785894008878472,0.106485274833509,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
33,0.418756256053618,0.19416345590904027,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
34,0.724751702526013,0.8162249911435105,first_price,locked,0.5,0.5348487127469206,0.5612565445243342,B,False,0.5612565445243342,0.8162249911435105,0.2549684466191764,0.5612565445243342,B,True,1.0,1.0
35,0.4429224945804916,0.16579307663144371,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
36,0.38452406937235784,0.8356644625263204,first_price,locked,0.5,,0.5674137985133805,B,False,0.5674137985133805,0.8356644625263204,0.26825066401293995,0.5674137985133805,B,True,1.0,1.0
37,0.6998615957473938,0.4049082273314234,first_price,locked,0.5,0.5285375406347573,,A,False,0.5285375406347573,0.6998615957473938,0.1713240551126365,0.5285375406347573,A,True,1.0,1.0
38,0.23240167622945007,0.1587423826577613,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
39,0.405368598786786,0.1982357080265129,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
40,0.03772129075573061,0.019032290084365577,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
41,0.1553395307721922,0.0704296195134414,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
42,0.7501494956984296,0.4841316306754856,first_price,locked,0.5,0.5417081998701594,,A,False,0.5417081998701594,0.7501494956984296,0.2084412958282702,0.5417081998701594,A,True,1.0,1.0
43,0.6269060280270113,0.469258517145114,first_price,locked,0.5,0.5128449394562997,,A,False,0.5128449394562997,0.6269060280270113,0.11406108857071162,0.5128449394562997,A,True,1.0,1.0
44,0.46336124347985885,0.2647605527335787,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
45,0.15983631864129877,0.2090470250860612,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
46,0.2670505297881891,0.47172647145780877,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
47,0.06444749345274259,0.11027417828935682,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
48,0.3017976870139021,0.638663242670801,first_price,locked,0.5,,0.5150529211510394,B,False,0.5150529211510394,0.638663242670801,0.12361032151976159,0.5150529211510394,B,True,1.0,1.0
49,0.3653406416461371,0.2245579634639171,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
50,0.09647612724101828,0.2617953082161466,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
51,0.7195383596898848,0.8097188924873302,first_price,locked,0.5,0.5334916761047304,0.5592340090206549,B,False,0.5592340090206549,0.8097188924873302,0.2504848834666753,0.5592340090206549,B,True,1.0,1.0
52,0.717874054189142,0.02808203536499576,first_price,locked,0.5,0.533062278272775,,A,False,0.533062278272775,0.717874054189142,0.184811775916367,0.533062278272775,A,True,1.0,1.0
53,0.5202920087686641,0.09169046326970276,first_price,locked,0.5,0.5003957062696792,,A,False,0.5003957062696792,0.5202920087686641,0.019896302498984886,0.5003957062696792,A,True,1.0,1.0
54,0.23393970417537202,0.9478964016187994,first_price,locked,0.5,,0.6058191518822462,B,False,0.6058191518822462,0.9478964016187994,0.3420772497365532,0.6058191518822462,B,True,1.0,1.0
55,0.006441810491450206,0.7060335205998017,first_price,locked,0.5,,0.5300621786163114,B,False,0.5300621786163114,0.7060335205998017,0.1759713419834903,0.5300621786163114,B,True,1.0,1.0
56,0.08624538641604629,0.06483897989437937,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
57,0.8181972760510281,0.47114488884807315,first_price,locked,0.5,0.5618735294347152,,A,False,0.5618735294347152,0.8181972760510281,0.25632374661631285,0.5618735294347152,A,True,1.0,1.0
58,0.9957892620936898,0.5893853697796331,first_price,locked,0.5,0.6234231989460228,0.5067780307590847,A,False,0.6234231989460228,0.9957892620936898,0.37236606314766696,0.6234231989460228,A,True,1.0,1.0
59,0.5043578180040955,0.7610882257608064,first_price,locked,0.5,0.5000188264928974,0.544782627902819,B,False,0.544782627902819,0.7610882257608064,0.21630559785798742,0.544782627902819,B,True,1.0,1.0
60,0.020606969717641532,0.8678396099701178,first_price,locked,0.5,,0.5779556366801623,B,False,0.5779556366801623,0.8678396099701178,0.2898839732899555,0.5779556366801623,B,True,1.0,1.0
61,0.38187731555058224,0.7574893233216354,first_price,locked,0.5,,0.5437634891894588,B,False,0.5437634891894588,0.7574893233216354,0.2137258341321766,0.5437634891894588,B,True,1.0,1.0
62,0.25434951526155236,0.6710486332650423,first_price,locked,0.5,,0.5217999363171962,B,False,0.5217999363171962,0.6710486332650423,0.14924869694784604,0.5217999363171962,B,True,1.0,1.0
63,0.2290899522751032,0.8148285937286047,first_price,locked,0.5,,0.5608207935951152,B,False,0.5608207935951152,0.8148285937286047,0.25400780013348956,0.5608207935951152,B,True,1.0,1.0
64,0.19335077834514725,0.27596454331330456,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
65,0.567331467399038,0.01917124551114613,first_price,locked,0.5,0.5039954830311916,,A,False,0.5039954830311916,0.567331467399038,0.06333598436784638,0.5039954830311916,A,True,1.0,1.0
66,0.19679656467450124,0.1742618837505322,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
67,0.9456230239434079,0.5676073803401404,first_price,locked,0.5,0.6049994947459906,0.5040263376012811,A,False,0.6049994947459906,0.9456230239434079,0.34062352919741734,0.6049994947459906,A,True,1.0,1.0
68,0.29590869585549007,0.40582544387423714,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
69,0.9752764541006941,0.5618623347954564,first_price,locked,0.5,0.6158070139357671,0.5034055926419577,A,False,0.6158070139357671,0.9752764541006941,0.359469440164927,0.6158070139357671,A,True,1.0,1.0
70,0.5897535250897081,0.948177758077408,first_price,locked,0.5,0.5068297135356703,0.60592069953348,B,False,0.60592069953348,0.948177758077408,0.34225705854392796,0.60592069953348,B,True,1.0,1.0
71,0.6186950465413095,0.19651006462736653,first_price,locked,0.5,0.511385669040186,,A,False,0.511385669040186,0.6186950465413095,0.10730937750112346,0.511385669040186,A,True,1.0,1.0
72,0.271018445992553,0.3893651243819318,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
73,0.933096061653582,0.09907321797660473,first_price,locked,0.5,0.6005106581885246,,A,False,0.6005106581885246,0.933096061653582,0.3325854034650575,0.6005106581885246,A,True,1.0,1.0
74,0.9093607669072473,0.3921001611872541,first_price,locked,0.5,0.5921395795712737,,A,False,0.5921395795712737,0.9093607669072473,0.3172211873359736,0.5921395795712737,A,True,1.0,1.0
75,0.3480878179007777,0.9073102291241408,first_price,locked,0.5,,0.5914249709877684,B,False,0.5914249709877684,0.9073102291241408,0.31588525813637247,0.5914249709877684,B,True,1.0,1.0
76,0.18768400688112574,0.7020442188877447,first_price,locked,0.5,,0.5290735720683188,B,False,0.5290735720683188,0.7020442188877447,0.17297064681942587,0.5290735720683188,B,True,1.0,1.0
77,0.4147451616912261,0.20076075972705443,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
78,0.7223604420938846,0.5108443454132371,first_price,locked,0.5,0.5342240267648555,0.5001151033856961,A,False,0.5342240267648555,0.7223604420938846,0.18813641532902914,0.5342240267648555,A,True,1.0,1.0
79,0.29386378189372,0.790970573768632,first_price,locked,0.5,,0.553518978838783,B,False,0.553518978838783,0.790970573768632,0.23745159492984902,0.553518978838783,B,True,1.0,1.0
80,0.7273752974568529,0.463095489801703,first_price,locked,0.5,0.5355384119273443,,A,False,0.5355384119273443,0.7273752974568529,0.19183688552950862,0.5355384119273443,A,True,1.0,1.0
81,0.15804963906187908,0.71883464250143,first_price,locked,0.5,,0.5333098865352983,B,False,0.5333098865352983,0.71883464250143,0.18552475596613172,0.5333098865352983,B,True,1.0,1.0
82,0.8846803589218445,0.0357694458939688,first_price,locked,0.5,0.5836341493556951,,A,False,0.5836341493556951,0.8846803589218445,0.30104620956614936,0.5836341493556951,A,True,1.0,1.0
83,0.5367307084391796,0.677909043295985,first_price,locked,0.5,0.5012568173585291,0.523345040163945,B,False,0.523345040163945,0.677909043295985,0.15456400313204,0.523345040163945,B,True,1.0,1.0
84,0.039955226591254944,0.8461838671180197,first_price,locked,0.5,,0.5708139652088592,B,False,0.5708139652088592,0.8461838671180197,0.27536990190916055,0.5708139652088592,B,True,1.0,1.0
85,0.5721695151294799,0.8616996087117331,first_price,locked,0.5,0.5045514823634439,0.5759119568000097,B,False,0.5759119568000097,0.8616996087117331,0.2857876519117234,0.5759119568000097,B,True,1.0,1.0
86,0.6812189295189374,0.13900939131425294,first_price,locked,0.5,0.524104072121998,,A,False,0.524104072121998,0.6812189295189374,0.1571148573969393,0.524104072121998,A,True,1.0,1.0
87,0.31823347404044333,0.6302287101797365,first_price,locked,0.5,,0.5134550494773882,B,False,0.5134550494773882,0.6302287101797365,0.11677366070234829,0.5134550494773882,B,True,1.0,1.0
88,0.13520230403557,0.541275434221177,first_price,locked,0.5,,0.5015737472665815,B,False,0.5015737472665815,0.541275434221177,0.039701686954595417,0.5015737472665815,B,True,1.0,1.0
89,0.8794084336523541,0.4721348201403648,first_price,locked,0.5,0.5818452234581588,,A,False,0.5818452234581588,0.8794084336523541,0.2975632101941953,0.5818452234581588,A,True,1.0,1.0
90,0.8189660349316603,0.5897106283196755,first_price,locked,0.5,0.5621144999307053,0.5068236830464147,A,False,0.5621144999307053,0.8189660349316603,0.25685153500095503,0.5621144999307053,A,True,1.0,1.0
91,0.42795179330678346,0.30671540810785336,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
92,0.8868044478195107,0.5787793745941794,first_price,locked,0.5,0.5843577641163387,0.5053614469812453,A,False,0.5843577641163387,0.8868044478195107,0.30244668370317207,0.5843577641163387,A,True,1.0,1.0
93,0.5673754064923058,0.974302383183546,first_price,locked,0.5,0.5040003896433118,0.6154481168148859,B,False,0.6154481168148859,0.974302383183546,0.35885426636866014,0.6154481168148859,B,True,1.0,1.0
94,0.7537777741335977,0.03303588659277035,first_price,locked,0.5,0.5427202557930481,,A,False,0.5427202557930481,0.7537777741335977,0.21105751834054964,0.5427202557930481,A,True,1.0,1.0
95,0.6843112001490067,0.25707414220332214,first_price,locked,0.5,0.5248210306166041,,A,False,0.5248210306166041,0.6843112001490067,0.15949016953240258,0.5248210306166041,A,True,1.0,1.0
96,0.10049008514252944,0.3300839270378466,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
97,0.06240735113539664,0.5470344565126419,first_price,locked,0.5,,0.5020220299408036,B,False,0.5020220299408036,0.5470344565126419,0.04501242657183835,0.5020220299408036,B,True,1.0,1.0
98,0.24616766841629356,0.8929253521721466,first_price,locked,0.5,,0.5864519816824736,B,False,0.5864519816824736,0.8929253521721466,0.30647337048967305,0.5864519816824736,B,True,1.0,1.0
99,0.12332426210329894,0.29817084176128084,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
0,0.8590731872829143,0.9412268396025271,first_price,portable,0.2,0.4528174971733858,0.49186228262422116,B,False,0.49186228262422116,0.9412268396025271,0.4493645569783059,0.49186228262422116,B,True,1.0,1.0
1,0.2362183924572261,0.6787825442456612,first_price,portable,0.2,0.2027766084142309,0.3688557893965125,B,False,0.3688557893965125,0.6787825442456612,0.3099267548491487,0.3688557893965125,B,True,1.0,1.0
2,0.980543205345165,0.10647728395927636,first_price,portable,0.2,0.5106684601399286,,A,False,0.5106684601399286,0.980543205345165,0.4698747452052364,0.5106684601399286,A,True,1.0,1.0
3,0.4862863009385532,0.956191760759899,first_price,portable,0.2,0.2842711854589507,0.49901218694183175,B,False,0.49901218694183175,0.956191760759899,0.45717957381806723,0.49901218694183175,B,True,1.0,1.0
4,0.6528786851950356,0.24457780440324572,first_price,portable,0.2,0.35707290508550954,0.20406247134784497,A,False,0.35707290508550954,0.6528786851950356,0.295805780109526,0.35707290508550954,A,True,1.0,1.0
5,0.15638156806801617,0.12362349739914524,first_price,portable,0.2,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
6,0.6458246662193923,0.07102702133529726,first_price,portable,0.2,0.3538804906393217,,A,False,0.3538804906393217,0.6458246662193923,0.2919441755800706,0.3538804906393217,A,True,1.0,1.0
7,0.11058094237508886,0.10974701087464911,first_price,portable,0.2,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
8,0.44019556186189424,0.9632868976504203,first_price,portable,0.2,0.2655321326890749,0.5024056953052386,B,False,0.5024056953052386,0.9632868976504203,0.4608812023451817,0.5024056953052386,B,True,1.0,1.0
9,0.23759987295431606,0.023594128894156463,first_price,portable,0.2,0.2029750656610253,,A,False,0.2029750656610253,0.23759987295431606,0.03462480729329076,0.2029750656610253,A,True,1.0,1.0
10,0.20265514445609456,0.6607414494941878,first_price,portable,0.2,0.20001739356802825,0.36063975057453435,B,False,0.36063975057453435,0.6607414494941878,0.30010169891965344,0.36063975057453435,B,True,1.0,1.0
11,0.8077555902441371,0.42317148692289663,first_price,portable,0.2,0.42863775994503583,0.2588479069532057,A,False,0.42863775994503583,0.8077555902441371,0.3791178302991013,0.42863775994503583,A,True,1.0,1.0
12,0.22397886182321647,0.059241648613108655,first_price,portable,0.2,0.2012835716050534,,A,False,0.2012835716050534,0.22397886182321647,0.022695290218163078,0.2012835716050534,A,True,1.0,1.0
13,0.34684481302478287,0.7393842425706972,first_price,portable,0.2,0.23108508229405567,0.3967416563558606,B,False,0.3967416563558606,0.7393842425706972,0.3426425862148366,0.3967416563558606,B,True,1.0,1.0
14,0.19484209792223206,0.6726955621360392,first_price,portable,0.2,,0.3660789122449418,B,False,0.3660789122449418,0.6726955621360392,0.3066166498910974,0.3660789122449418,B,True,1.0,1.0
15,0.7311453587000503,0.5675944114113629,first_price,portable,0.2,0.3929270210852436,0.31903363439120813,A,False,0.3929270210852436,0.7311453587000503,0.3382183376148067,0.3929270210852436,A,True,1.0,1.0
16,0.7755902320148101,0.26410642340273816,first_price,portable,0.2,0.4135819286494937,0.2077802604505842,A,False,0.4135819286494937,0.7755902320148101,0.3620083033653164,0.4135819286494937,A,True,1.0,1.0
17,0.07722556088821719,0.5053263824920392,first_price,portable,0.2,,0.2922415720567921,B,False,0.2922415720567921,0.5053263824920392,0.21308481043524713,0.2922415720567921,B,True,1.0,1.0
18,0.4002450162910588,0.2932002694562976,first_price,portable,0.2,0.2500918998579698,0.2148128960502562,A,False,0.2500918998579698,0.4002450162910588,0.15015311643308898,0.2500918998579698,A,True,1.0,1.0
19,0.6838680097814209,0.9149490986939306,first_price,portable,0.2,0.371179414405322,0.479333688864726,B,False,0.479333688864726,0.9149490986939306,0.4356154098292046,0.479333688864726,B,True,1.0,1.0
20,0.3152329886058217,0.8145098362535278,first_price,portable,0.2,0.2210616308301945,0.43180956327628517,B,False,0.43180956327628517,0.8145098362535278,0.38270027297724263,0.43180956327628517,B,True,1.0,1.0
21,0.5343808044205921,0.5866383287178556,first_price,portable,0.2,0.30461689626575755,0.32741172023353554,B,False,0.32741172023353554,0.5866383287178556,0.25922660848432005,0.32741172023353554,B,True,1.0,1.0
22,0.4059833023740095,0.16300091792777804,first_price,portable,0.2,0.25225476098252814,,A,False,0.25225476098252814,0.4059833023740095,0.15372854139148134,0.25225476098252814,A,True,1.0,1.0
23,0.6650345627678655,0.38146608218300726,first_price,portable,0.2,0.3625909063046591,0.24316234197599237,A,False,0.3625909063046591,0.6650345627678655,0.3024436564632064,0.3625909063046591,A,True,1.0,1.0
24,0.08848372825246464,0.7315382885347909,first_price,portable,0.2,,0.39310879321462733,B,False,0.39310879321462733,0.7315382885347909,0.33842949532016353,0.39310879321462733,B,True,1.0,1.0
25,0.9140533009488766,0.06732560405381482,first_price,portable,0.2,0.4789072125589886,,A,False,0.4789072125589886,0.9140533009488766,0.435146088389888,0.4789072125589886,A,True,1.0,1.0
26,0.13178253397002204,0.13460778218998248,first_price,portable,0.2,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
27,0.626766435067227,0.4296985630938005,first_price,portable,0.2,0.3452930309521556,0.26139353772500185,A,False,0.3452930309521556,0.626766435067227,0.2814734041150714,0.3452930309521556,A,True,1.0,1.0
28,0.9004857821498226,0.17737701781677628,first_price,portable,0.2,0.4724531251468496,,A,False,0.4724531251468496,0.9004857821498226,0.42803265700297294,0.4724531251468496,A,True,1.0,1.0
29,0.4076563484627981,0.9288983128083946,first_price,portable,0.2,0.25288910527151787,0.48598003844394694,B,False,0.48598003844394694,0.9288983128083946,0.4429182743644477,0.48598003844394694,B,True,1.0,1.0
30,0.42852101519318553,0.951253876338505,first_price,portable,0.2,0.2609326643658089,0.49665181964146526,B,False,0.49665181964146526,0.951253876338505,0.45460205669703974,0.49665181964146526,B,True,1.0,1.0
31,0.6009920797114758,0.591882981797754,first_price,portable,0.2,0.33377434863079136,0.32973195390433974,A,False,0.33377434863079136,0.6009920797114758,0.2672177310806845,0.33377434863079136,A,True,1.0,1.0
32,0.2785894008878472,0.106485274833509,first_price,portable,0.2,0.2110849406191106,,A,False,0.2110849406191106,0.2785894008878472,0.06750446026873663,0.2110849406191106,A,True,1.0,1.0
33,0.418756256053618,0.19416345590904027,first_price,portable,0.2,0.2571386085232226,,A,False,0.2571386085232226,0.418756256053618,0.16161764753039537,0.2571386085232226,A,True,1.0,1.0
34,0.724751702526013,0.8162249911435105,first_price,portable,0.2,0.38997150910043277,0.4326155434041679,B,False,0.4326155434041679,0.8162249911435105,0.38360944773934263,0.4326155434041679,B,True,1.0,1.0
35,0.4429224945804916,0.16579307663144371,first_price,portable,0.2,0.2666158742164369,,A,False,0.2666158742164369,0.4429224945804916,0.1763066203640547,0.2666158742164369,A,True,1.0,1.0
36,0.38452406937235784,0.8356644625263204,first_price,portable,0.2,0.24427438343887245,0.4417652820231955,B,False,0.4417652820231955,0.8356644625263204,0.39389918050312495,0.4417652820231955,B,True,1.0,1.0
37,0.6998615957473938,0.4049082273314234,first_price,portable,0.2,0.3785078767154666,0.25184802233437825,A,False,0.3785078767154666,0.6998615957473938,0.3213537190319272,0.3785078767154666,A,True,1.0,1.0
38,0.23240167622945007,0.1587423826577613,first_price,portable,0.2,0.20225873719912757,,A,False,0.20225873719912757,0.23240167622945007,0.030142939030322502,0.20225873719912757,A,True,1.0,1.0
39,0.405368598786786,0.1982357080265129,first_price,portable,0.2,0.25202211208992975,,A,False,0.25202211208992975,0.405368598786786,0.15334648669685624,0.25202211208992975,A,True,1.0,1.0
40,0.03772129075573061,0.019032290084365577,first_price,portable,0.2,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
41,0.1553395307721922,0.0704296195134414,first_price,portable,0.2,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
42,0.7501494956984296,0.4841316306754856,first_price,portable,0.2,0.401736100172566,0.2833768942525721,A,False,0.401736100172566,0.7501494956984296,0.3484133955258636,0.401736100172566,A,True,1.0,1.0
43,0.6269060280270113,0.469258517145114,first_price,portable,0.2,0.34535572208435267,0.27724968903736025,A,False,0.34535572208435267,0.6269060280270113,0.2815503059426587,0.34535572208435267,A,True,1.0,1.0
44,0.46336124347985885,0.2647605527335787,first_price,portable,0.2,0.2748434893328237,0.2079202304630684,A,False,0.2748434893328237,0.46336124347985885,0.18851775414703514,0.2748434893328237,A,True,1.0,1.0
45,0.15983631864129877,0.2090470250860612,first_price,portable,0.2,,0.20019576615087953,B,False,0.20019576615087953,0.2090470250860612,0.008851258935181683,0.20019576615087953,B,True,1.0,1.0
46,0.2670505297881891,0.47172647145780877,first_price,portable,0.2,0.20841745857692676,0.27826068681574423,B,False,0.27826068681574423,0.47172647145780877,0.19346578464206454,0.27826068681574423,B,True,1.0,1.0
47,0.06444749345274259,0.11027417828935682,first_price,portable,0.2,,,None,True,0.0,0.0,0.0,0.0,B,False,0.0,
48,0.3017976870139021,0.638663242670801,first_price,portable,0.2,0.21716840374741347,0.3506470293059027,B,False,0.3506470293059027,0.638663242670801,0.2880162133648983,0.3506470293059027,B,True,1.0,1.0
49,0.3653406416461371,0.2245579634639171,first_price,portable,0.2,0.2374137512552395,0.2013428460968208,A,False,0.2374137512552395,0.3653406416461371,0.1279268903908976,0.2374137512552395,A,True,1.0,1.0
50,0.09647612724101828,0.2617953082161466,first_price,portable,0.2,,0.20729321725348826,B,False,0.20729321725348826,0.2617953082161466,0.054502090962658345,0.20729321725348826,B,True,1.0,1.0
51,0.7195383596898848,0.8097188924873302,first_price,portable,0.2,0.3875647792465085,0.4295593762879835,B,False,0.4295593762879835,0.8097188924873302,0.3801595161993467,0.4295593762879835,B,True,1.0,1.0
52,0.717874054189142,0.02808203536499576,first_price,portable,0.2,0.38679706728308366,,A,False,0.38679706728308366,0.717874054189142,0.3310769869060583,0.38679706728308366,A,True,1.0,1.0
53,0.5202920087686641,0.09169046326970276,first_price,portable,0.2,0.29858595668598764,,A,False,0.29858595668598764,0.5202920087686641,0.22170605208267646,0.29858595668598764,A,True,1.0,1.0
54,0.23393970417537202,0.9478964016187994,first_price,portable,0.2,0.20246196669259753,0.4950475529810552,B,False,0.4950475529810552,0.9478964016187994,0.4528488486377442,0.4950475529810552,B,True,1.0,1.0
55,0.006441810491450206,0.7060335205998017,first_price,portable,0.2,,0.38134402723052657,B,False,0.38134402723052657,0.7060335205998017,0.32468949336927516,0.38134402723052657,B,True,1.0,1.0
56,0.08624538641604629,0.06483897989437937,first_price,portable,0.2,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
