p,strategy_A,strategy_B,is_bne,symmetric,A_low_action,A_high_action,B_low_action,B_high_action,max_deviation_gain,expected_payoff_A,expected_payoff_B
0.14,LP,PP,False,False,L,P,P,P,0.8,0.8280000000000001,0.5200000000000001
0.14,PP,LL,False,False,P,P,L,L,2.2,-2.06,1.0
0.14,PP,PL,False,False,P,P,P,L,1.92,-1.6399999999999997,1.112
0.14,PP,LP,False,False,P,P,L,P,0.8,0.5200000000000001,0.8280000000000001
0.14,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.9400000000000002,0.9400000000000002
0.15,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.15,LL,PL,False,False,L,L,P,L,1.2,0.15,-0.18
0.15,LL,LP,False,False,L,L,L,P,2.2,0.8499999999999999,-1.87
0.15,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.0500000000000003
0.15,PL,LL,False,False,P,L,L,L,1.2,-0.18,0.15
0.15,PL,PL,False,True,P,L,P,L,0.9,0.015000000000000013,0.015000000000000013
0.15,PL,LP,False,False,P,L,L,P,1.9,0.9249999999999999,-1.465
0.15,PL,PP,False,False,P,L,P,P,1.9,1.12,-1.6
0.15,LP,LL,False,False,L,P,L,L,2.2,-1.87,0.8499999999999999
0.15,LP,PL,False,False,L,P,P,L,1.9,-1.465,0.9249999999999999
0.15,LP,LP,False,True,L,P,L,P,0.5000000000000001,0.4249999999999999,0.4249999999999999
0.15,LP,PP,False,False,L,P,P,P,0.8,0.8300000000000001,0.4999999999999999
0.15,PP,LL,False,False,P,P,L,L,2.2,-2.0500000000000003,1.0
0.15,PP,PL,False,False,P,P,P,L,1.9,-1.6,1.12
0.15,PP,LP,False,False,P,P,L,P,0.8,0.4999999999999999,0.8300000000000001
0.15,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.9500000000000001,0.9500000000000001
0.16,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.16,LL,PL,False,False,L,L,P,L,1.2,0.16,-0.192
0.16,LL,LP,False,False,L,L,L,P,2.2,0.8399999999999999,-1.848
0.16,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.04
0.16,PL,LL,False,False,P,L,L,L,1.2,-0.192,0.16
0.16,PL,PL,False,True,P,L,P,L,0.88,0.019199999999999995,0.019199999999999995
0.16,PL,LP,False,False,P,L,L,P,1.88,0.9168,-1.4191999999999998
0.16,PL,PP,False,False,P,L,P,P,1.88,1.1280000000000001,-1.5599999999999998
0.16,LP,LL,False,False,L,P,L,L,2.2,-1.848,0.8399999999999999
0.16,LP,PL,False,False,L,P,P,L,1.88,-1.4191999999999998,0.9168
0.16,LP,LP,False,True,L,P,L,P,0.5199999999999999,0.4032,0.4032
0.16,LP,PP,False,False,L,P,P,P,0.8,0.8320000000000001,0.4800000000000001
0.16,PP,LL,False,False,P,P,L,L,2.2,-2.04,1.0
0.16,PP,PL,False,False,P,P,P,L,1.88,-1.5599999999999998,1.1280000000000001
0.16,PP,LP,False,False,P,P,L,P,0.8,0.4800000000000001,0.8320000000000001
0.16,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.9600000000000001,0.9600000000000001
0.17,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.17,LL,PL,False,False,L,L,P,L,1.2,0.17,-0.20400000000000001
0.17,LL,LP,False,False,L,L,L,P,2.2,0.83,-1.826
0.17,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.0300000000000002
0.17,PL,LL,False,False,P,L,L,L,1.2,-0.20400000000000001,0.17
0.17,PL,PL,False,True,P,L,P,L,0.86,0.0238,0.0238
0.17,PL,LP,False,False,P,L,L,P,1.8599999999999999,0.9081999999999999,-1.3738
0.17,PL,PP,False,False,P,L,P,P,1.8599999999999999,1.1360000000000001,-1.5199999999999998
0.17,LP,LL,False,False,L,P,L,L,2.2,-1.826,0.83
0.17,LP,PL,False,False,L,P,P,L,1.8599999999999999,-1.3738,0.9081999999999999
0.17,LP,LP,False,True,L,P,L,P,0.5400000000000001,0.3817999999999998,0.3817999999999998
0.17,LP,PP,False,False,L,P,P,P,0.8,0.8340000000000001,0.45999999999999985
0.17,PP,LL,False,False,P,P,L,L,2.2,-2.0300000000000002,1.0
0.17,PP,PL,False,False,P,P,P,L,1.8599999999999999,-1.5199999999999998,1.1360000000000001
0.17,PP,LP,False,False,P,P,L,P,0.8,0.45999999999999985,0.8340000000000001
0.17,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.9700000000000001,0.9700000000000001
0.18,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.18,LL,PL,False,False,L,L,P,L,1.2,0.18,-0.216
0.18,LL,LP,False,False,L,L,L,P,2.2,0.8200000000000001,-1.8040000000000003
0.18,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.0200000000000005
0.18,PL,LL,False,False,P,L,L,L,1.2,-0.216,0.18
0.18,PL,PL,False,True,P,L,P,L,0.8399999999999999,0.028800000000000034,0.028800000000000034
0.18,PL,LP,False,False,P,L,L,P,1.8399999999999999,0.8992000000000001,-1.3288
0.18,PL,PP,False,False,P,L,P,P,1.8399999999999999,1.1440000000000001,-1.48
0.18,LP,LL,False,False,L,P,L,L,2.2,-1.8040000000000003,0.8200000000000001
0.18,LP,PL,False,False,L,P,P,L,1.8399999999999999,-1.3288,0.8992000000000001
0.18,LP,LP,False,True,L,P,L,P,0.56,0.3608,0.3608
0.18,LP,PP,False,False,L,P,P,P,0.8,0.8360000000000001,0.44000000000000006
0.18,PP,LL,False,False,P,P,L,L,2.2,-2.0200000000000005,1.0
0.18,PP,PL,False,False,P,P,P,L,1.8399999999999999,-1.48,1.1440000000000001
0.18,PP,LP,False,False,P,P,L,P,0.8,0.44000000000000006,0.8360000000000001
0.18,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.9800000000000002,0.9800000000000002
0.19,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.19,LL,PL,False,False,L,L,P,L,1.2,0.19,-0.22799999999999998
0.19,LL,LP,False,False,L,L,L,P,2.2,0.8100000000000002,-1.7820000000000003
0.19,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.0100000000000002
0.19,PL,LL,False,False,P,L,L,L,1.2,-0.22799999999999998,0.19
0.19,PL,PL,False,True,P,L,P,L,0.8199999999999998,0.03420000000000002,0.03420000000000002
0.19,PL,LP,False,False,P,L,L,P,1.8199999999999998,0.8898000000000001,-1.2842
0.19,PL,PP,False,False,P,L,P,P,1.8199999999999998,1.1520000000000001,-1.44
0.19,LP,LL,False,False,L,P,L,L,2.2,-1.7820000000000003,0.8100000000000002
0.19,LP,PL,False,False,L,P,P,L,1.8199999999999998,-1.2842,0.8898000000000001
0.19,LP,LP,False,True,L,P,L,P,0.5799999999999998,0.34020000000000017,0.34020000000000017
0.19,LP,PP,False,False,L,P,P,P,0.8,0.8380000000000001,0.42000000000000026
0.19,PP,LL,False,False,P,P,L,L,2.2,-2.0100000000000002,1.0
0.19,PP,PL,False,False,P,P,P,L,1.8199999999999998,-1.44,1.1520000000000001
0.19,PP,LP,False,False,P,P,L,P,0.8,0.42000000000000026,0.8380000000000001
0.19,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.9900000000000002,0.9900000000000002
0.2,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.2,LL,PL,False,False,L,L,P,L,1.2,0.20000000000000004,-0.24
0.2,LL,LP,False,False,L,L,L,P,2.2,0.8000000000000002,-1.7600000000000002
0.2,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.0
0.2,PL,LL,False,False,P,L,L,L,1.2,-0.24,0.20000000000000004
0.2,PL,PL,False,True,P,L,P,L,0.7999999999999998,0.04000000000000005,0.04000000000000005
0.2,PL,LP,False,False,P,L,L,P,1.7999999999999998,0.8800000000000002,-1.24
0.2,PL,PP,False,False,P,L,P,P,1.7999999999999998,1.1600000000000001,-1.4
0.2,LP,LL,False,False,L,P,L,L,2.2,-1.7600000000000002,0.8000000000000002
0.2,LP,PL,False,False,L,P,P,L,1.7999999999999998,-1.24,0.8800000000000002
0.2,LP,LP,False,True,L,P,L,P,0.5999999999999996,0.3200000000000004,0.3200000000000004
0.2,LP,PP,False,False,L,P,P,P,0.8,0.8400000000000001,0.40000000000000047
0.2,PP,LL,False,False,P,P,L,L,2.2,-2.0,1.0
0.2,PP,PL,False,False,P,P,P,L,1.7999999999999998,-1.4,1.1600000000000001
0.2,PP,LP,False,False,P,P,L,P,0.8,0.40000000000000047,0.8400000000000001
0.2,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.0000000000000002,1.0000000000000002
0.21,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.21,LL,PL,False,False,L,L,P,L,1.2,0.21,-0.252
0.21,LL,LP,False,False,L,L,L,P,2.2,0.79,-1.7380000000000002
0.21,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9900000000000002
0.21,PL,LL,False,False,P,L,L,L,1.2,-0.252,0.21
0.21,PL,PL,False,True,P,L,P,L,0.78,0.04619999999999998,0.04619999999999998
0.21,PL,LP,False,False,P,L,L,P,1.7799999999999998,0.8698000000000001,-1.1962
0.21,PL,PP,False,False,P,L,P,P,1.7799999999999998,1.1680000000000001,-1.3599999999999999
0.21,LP,LL,False,False,L,P,L,L,2.2,-1.7380000000000002,0.79
0.21,LP,PL,False,False,L,P,P,L,1.7799999999999998,-1.1962,0.8698000000000001
0.21,LP,LP,False,True,L,P,L,P,0.6199999999999999,0.30020000000000013,0.30020000000000013
0.21,LP,PP,False,False,L,P,P,P,0.8,0.8420000000000001,0.3800000000000001
0.21,PP,LL,False,False,P,P,L,L,2.2,-1.9900000000000002,1.0
0.21,PP,PL,False,False,P,P,P,L,1.7799999999999998,-1.3599999999999999,1.1680000000000001
0.21,PP,LP,False,False,P,P,L,P,0.8,0.3800000000000001,0.8420000000000001
0.21,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.0100000000000002,1.0100000000000002
0.22,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.22,LL,PL,False,False,L,L,P,L,1.2,0.22,-0.264
0.22,LL,LP,False,False,L,L,L,P,2.2,0.78,-1.7160000000000002
0.22,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9800000000000002
