p,c_low,c_high,analytical_threshold_p,computed_pl_pl_is_bne,analytical_pl_condition,agreement
0.11,0.05,1.2,0.525,False,False,True
0.12,0.05,1.2,0.525,False,False,True
0.13,0.05,1.2,0.525,False,False,True
0.14,0.05,1.2,0.525,False,False,True
0.15,0.05,1.2,0.525,False,False,True
0.16,0.05,1.2,0.525,False,False,True
0.17,0.05,1.2,0.525,False,False,True
0.18,0.05,1.2,0.525,False,False,True
0.19,0.05,1.2,0.525,False,False,True
0.2,0.05,1.2,0.525,False,False,True
0.21,0.05,1.2,0.525,False,False,True
0.22,0.05,1.2,0.525,False,False,True
0.23,0.05,1.2,0.525,False,False,True
0.24,0.05,1.2,0.525,False,False,True
0.25,0.05,1.2,0.525,False,False,True
0.26,0.05,1.2,0.525,False,False,True
0.27,0.05,1.2,0.525,False,False,True
0.28,0.05,1.2,0.525,False,False,True
0.29,0.05,1.2,0.525,False,False,True
0.3,0.05,1.2,0.525,False,False,True
0.31,0.05,1.2,0.525,False,False,True
0.32,0.05,1.2,0.525,False,False,True
0.33,0.05,1.2,0.525,False,False,True
0.34,0.05,1.2,0.525,False,False,True
0.35,0.05,1.2,0.525,False,False,True
0.36,0.05,1.2,0.525,False,False,True
0.37,0.05,1.2,0.525,False,False,True
0.38,0.05,1.2,0.525,False,False,True
0.39,0.05,1.2,0.525,False,False,True
0.4,0.05,1.2,0.525,False,False,True
0.41,0.05,1.2,0.525,False,False,True
0.42,0.05,1.2,0.525,False,False,True
0.43,0.05,1.2,0.525,False,False,True
0.44,0.05,1.2,0.525,False,False,True
0.45,0.05,1.2,0.525,False,False,True
0.46,0.05,1.2,0.525,False,False,True
0.47,0.05,1.2,0.525,False,False,True
0.48,0.05,1.2,0.525,False,False,True
0.49,0.05,1.2,0.525,False,False,True
0.5,0.05,1.2,0.525,False,False,True
0.51,0.05,1.2,0.525,False,False,True
0.52,0.05,1.2,0.525,False,False,True
0.53,0.05,1.2,0.525,True,True,True
0.54,0.05,1.2,0.525,True,True,True
0.55,0.05,1.2,0.525,True,True,True
0.56,0.05,1.2,0.525,True,True,True
0.57,0.05,1.2,0.525,True,True,True
0.58,0.05,1.2,0.525,True,True,True
0.59,0.05,1.2,0.525,True,True,True
0.6,0.05,1.2,0.525,True,True,True
0.61,0.05,1.2,0.525,True,True,True
0.62,0.05,1.2,0.525,True,True,True
0.63,0.05,1.2,0.525,True,True,True
0.64,0.05,1.2,0.525,True,True,True
0.65,0.05,1.2,0.525,True,True,True
0.66,0.05,1.2,0.525,True,True,True
0.67,0.05,1.2,0.525,True,True,True
0.68,0.05,1.2,0.525,True,True,True
0.69,0.05,1.2,0.525,True,True,True
0.7,0.05,1.2,0.525,True,True,True
0.71,0.05,1.2,0.525,True,True,True
0.72,0.05,1.2,0.525,True,True,True
0.73,0.05,1.2,0.525,True,True,True
0.74,0.05,1.2,0.525,True,True,True
0.75,0.05,1.2,0.525,True,True,True
0.76,0.05,1.2,0.525,True,True,True
0.77,0.05,1.2,0.525,True,True,True
0.78,0.05,1.2,0.525,True,True,True
0.79,0.05,1.2,0.525,True,True,True
0.8,0.05,1.2,0.525,True,True,True
0.81,0.05,1.2,0.525,True,True,True
0.82,0.05,1.2,0.525,True,True,True
0.83,0.05,1.2,0.525,True,True,True
0.84,0.05,1.2,0.525,True,True,True
0.85,0.05,1.2,0.525,True,True,True
0.86,0.05,1.2,0.525,True,True,True
0.87,0.05,1.2,0.525,True,True,True
0.88,0.05,1.2,0.525,True,True,True
0.89,0.05,1.2,0.525,True,True,True
0.9,0.05,1.2,0.525,True,True,True
0.91,0.05,1.2,0.525,True,True,True
0.92,0.05,1.2,0.525,True,True,True
0.93,0.05,1.2,0.525,True,True,True
0.94,0.05,1.2,0.525,True,True,True
0.95,0.05,1.2,0.525,True,True,True
0.96,0.05,1.2,0.525,True,True,True
0.97,0.05,1.2,0.525,True,True,True
0.98,0.05,1.2,0.525,True,True,True
0.99,0.05,1.2,0.525,True,True,True
0.01,0.1,1.2,0.55,False,False,True
0.02,0.1,1.2,0.55,False,False,True
0.03,0.1,1.2,0.55,False,False,True
0.04,0.1,1.2,0.55,False,False,True
0.05,0.1,1.2,0.55,False,False,True
0.06,0.1,1.2,0.55,False,False,True
0.07,0.1,1.2,0.55,False,False,True
0.08,0.1,1.2,0.55,False,False,True
0.09,0.1,1.2,0.55,False,False,True
0.1,0.1,1.2,0.55,False,False,True
0.11,0.1,1.2,0.55,False,False,True
0.12,0.1,1.2,0.55,False,False,True
0.13,0.1,1.2,0.55,False,False,True
0.14,0.1,1.2,0.55,False,False,True
0.15,0.1,1.2,0.55,False,False,True
0.16,0.1,1.2,0.55,False,False,True
0.17,0.1,1.2,0.55,False,False,True
0.18,0.1,1.2,0.55,False,False,True
0.19,0.1,1.2,0.55,False,False,True
0.2,0.1,1.2,0.55,False,False,True
0.21,0.1,1.2,0.55,False,False,True
0.22,0.1,1.2,0.55,False,False,True
0.23,0.1,1.2,0.55,False,False,True
0.24,0.1,1.2,0.55,False,False,True
0.25,0.1,1.2,0.55,False,False,True
0.26,0.1,1.2,0.55,False,False,True
0.27,0.1,1.2,0.55,False,False,True
0.28,0.1,1.2,0.55,False,False,True
0.29,0.1,1.2,0.55,False,False,True
0.3,0.1,1.2,0.55,False,False,True
0.31,0.1,1.2,0.55,False,False,True
0.32,0.1,1.2,0.55,False,False,True
0.33,0.1,1.2,0.55,False,False,True
0.34,0.1,1.2,0.55,False,False,True
0.35,0.1,1.2,0.55,False,False,True
0.36,0.1,1.2,0.55,False,False,True
0.37,0.1,1.2,0.55,False,False,True
0.38,0.1,1.2,0.55,False,False,True
0.39,0.1,1.2,0.55,False,False,True
0.4,0.1,1.2,0.55,False,False,True
0.41,0.1,1.2,0.55,False,False,True
0.42,0.1,1.2,0.55,False,False,True
0.43,0.1,1.2,0.55,False,False,True
0.44,0.1,1.2,0.55,False,False,True
0.45,0.1,1.2,0.55,False,False,True
0.46,0.1,1.2,0.55,False,False,True
0.47,0.1,1.2,0.55,False,False,True
0.48,0.1,1.2,0.55,False,False,True
0.49,0.1,1.2,0.55,False,False,True
0.5,0.1,1.2,0.55,False,False,True
0.51,0.1,1.2,0.55,False,False,True
0.52,0.1,1.2,0.55,False,False,True
0.53,0.1,1.2,0.55,False,False,True
0.54,0.1,1.2,0.55,False,False,True
0.55,0.1,1.2,0.55,True,True,True
0.56,0.1,1.2,0.55,True,True,True
0.57,0.1,1.2,0.55,True,True,True
0.58,0.1,1.2,0.55,True,True,True
0.59,0.1,1.2,0.55,True,True,True
0.6,0.1,1.2,0.55,True,True,True
0.61,0.1,1.2,0.55,True,True,True
0.62,0.1,1.2,0.55,True,True,True
0.63,0.1,1.2,0.55,True,True,True
0.64,0.1,1.2,0.55,True,True,True
0.65,0.1,1.2,0.55,True,True,True
0.66,0.1,1.2,0.55,True,True,True
0.67,0.1,1.2,0.55,True,True,True
0.68,0.1,1.2,0.55,True,True,True
0.69,0.1,1.2,0.55,True,True,True
0.7,0.1,1.2,0.55,True,True,True
0.71,0.1,1.2,0.55,True,True,True
0.72,0.1,1.2,0.55,True,True,True
0.73,0.1,1.2,0.55,True,True,True
0.74,0.1,1.2,0.55,True,True,True
0.75,0.1,1.2,0.55,True,True,True
0.76,0.1,1.2,0.55,True,True,True
0.77,0.1,1.2,0.55,True,True,True
0.78,0.1,1.2,0.55,True,True,True
0.79,0.1,1.2,0.55,True,True,True
0.8,0.1,1.2,0.55,True,True,True
0.81,0.1,1.2,0.55,True,True,True
0.82,0.1,1.2,0.55,True,True,True
0.83,0.1,1.2,0.55,True,True,True
0.84,0.1,1.2,0.55,True,True,True
0.85,0.1,1.2,0.55,True,True,True
0.86,0.1,1.2,0.55,True,True,True
0.87,0.1,1.2,0.55,True,True,True
0.88,0.1,1.2,0.55,True,True,True
0.89,0.1,1.2,0.55,True,True,True
0.9,0.1,1.2,0.55,True,True,True
0.91,0.1,1.2,0.55,True,True,True
0.92,0.1,1.2,0.55,True,True,True
0.93,0.1,1.2,0.55,True,True,True
0.94,0.1,1.2,0.55,True,True,True
0.95,0.1,1.2,0.55,True,True,True
0.96,0.1,1.2,0.55,True,True,True
0.97,0.1,1.2,0.55,True,True,True
0.98,0.1,1.2,0.55,True,True,True
0.99,0.1,1.2,0.55,True,True,True
0.01,0.15,1.2,0.575,False,False,True
0.02,0.15,1.2,0.575,False,False,True
0.03,0.15,1.2,0.575,False,False,True
0.04,0.15,1.2,0.575,False,False,True
0.05,0.15,1.2,0.575,False,False,True
0.06,0.15,1.2,0.575,False,False,True
0.07,0.15,1.2,0.575,False,False,True
0.08,0.15,1.2,0.575,False,False,True
0.09,0.15,1.2,0.575,False,False,True
0.1,0.15,1.2,0.575,False,False,True
0.11,0.15,1.2,0.575,False,False,True
0.12,0.15,1.2,0.575,False,False,True
0.13,0.15,1.2,0.575,False,False,True
0.14,0.15,1.2,0.575,False,False,True
0.15,0.15,1.2,0.575,False,False,True
0.16,0.15,1.2,0.575,False,False,True
0.17,0.15,1.2,0.575,False,False,True
0.18,0.15,1.2,0.575,False,False,True
0.19,0.15,1.2,0.575,False,False,True
0.2,0.15,1.2,0.575,False,False,True
0.21,0.15,1.2,0.575,False,False,True
0.22,0.15,1.2,0.575,False,False,True
0.23,0.15,1.2,0.575,False,False,True
0.24,0.15,1.2,0.575,False,False,True
0.25,0.15,1.2,0.575,False,False,True
0.26,0.15,1.2,0.575,False,False,True
0.27,0.15,1.2,0.575,False,False,True
0.28,0.15,1.2,0.575,False,False,True
0.29,0.15,1.2,0.575,False,False,True
0.3,0.15,1.2,0.575,False,False,True
0.31,0.15,1.2,0.575,False,False,True
0.32,0.15,1.2,0.575,False,False,True
0.33,0.15,1.2,0.575,False,False,True
0.34,0.15,1.2,0.575,False,False,True
0.35,0.15,1.2,0.575,False,False,True
0.36,0.15,1.2,0.575,False,False,True
0.37,0.15,1.2,0.575,False,False,True
0.38,0.15,1.2,0.575,False,False,True
0.39,0.15,1.2,0.575,False,False,True
0.4,0.15,1.2,0.575,False,False,True
0.41,0.15,1.2,0.575,False,False,True
0.42,0.15,1.2,0.575,False,False,True
0.43,0.15,1.2,0.575,False,False,True
0.44,0.15,1.2,0.575,False,False,True
0.45,0.15,1.2,0.575,False,False,True
0.46,0.15,1.2,0.575,False,False,True
0.47,0.15,1.2,0.575,False,False,True
0.48,0.15,1.2,0.575,False,False,True
0.49,0.15,1.2,0.575,False,False,True
0.5,0.15,1.2,0.575,False,False,True
0.51,0.15,1.2,0.575,False,False,True
0.52,0.15,1.2,0.575,False,False,True
0.53,0.15,1.2,0.575,False,False,True
0.54,0.15,1.2,0.575,False,False,True
0.55,0.15,1.2,0.575,False,False,True
0.56,0.15,1.2,0.575,False,False,True
0.57,0.15,1.2,0.575,False,False,True
0.58,0.15,1.2,0.575,True,True,True
0.59,0.15,1.2,0.575,True,True,True
0.6,0.15,1.2,0.575,True,True,True
0.61,0.15,1.2,0.575,True,True,True
0.62,0.15,1.2,0.575,True,True,True
0.63,0.15,1.2,0.575,True,True,True
0.64,0.15,1.2,0.575,True,True,True
0.65,0.15,1.2,0.575,True,True,True
0.66,0.15,1.2,0.575,True,True,True
0.67,0.15,1.2,0.575,True,True,True
0.68,0.15,1.2,0.575,True,True,True
0.69,0.15,1.2,0.575,True,True,True
0.7,0.15,1.2,0.575,True,True,True
0.71,0.15,1.2,0.575,True,True,True
0.72,0.15,1.2,0.575,True,True,True
0.73,0.15,1.2,0.575,True,True,True
0.74,0.15,1.2,0.575,True,True,True
0.75,0.15,1.2,0.575,True,True,True
0.76,0.15,1.2,0.575,True,True,True
0.77,0.15,1.2,0.575,True,True,True
0.78,0.15,1.2,0.575,True,True,True
0.79,0.15,1.2,0.575,True,True,True
0.8,0.15,1.2,0.575,True,True,True
0.81,0.15,1.2,0.575,True,True,True
0.82,0.15,1.2,0.575,True,True,True
0.83,0.15,1.2,0.575,True,True,True
0.84,0.15,1.2,0.575,True,True,True
0.85,0.15,1.2,0.575,True,True,True
0.86,0.15,1.2,0.575,True,True,True
0.87,0.15,1.2,0.575,True,True,True
0.88,0.15,1.2,0.575,True,True,True
0.89,0.15,1.2,0.575,True,True,True
0.9,0.15,1.2,0.575,True,True,True
0.91,0.15,1.2,0.575,True,True,True
0.92,0.15,1.2,0.575,True,True,True
0.93,0.15,1.2,0.575,True,True,True
0.94,0.15,1.2,0.575,True,True,True
0.95,0.15,1.2,0.575,True,True,True
0.96,0.15,1.2,0.575,True,True,True
0.97,0.15,1.2,0.575,True,True,True
0.98,0.15,1.2,0.575,True,True,True
0.99,0.15,1.2,0.575,True,True,True
0.01,0.2,1.2,0.6,False,False,True
0.02,0.2,1.2,0.6,False,False,True
0.03,0.2,1.2,0.6,False,False,True
0.04,0.2,1.2,0.6,False,False,True
0.05,0.2,1.2,0.6,False,False,True
0.06,0.2,1.2,0.6,False,False,True
0.07,0.2,1.2,0.6,False,False,True
0.08,0.2,1.2,0.6,False,False,True
0.09,0.2,1.2,0.6,False,False,True
0.1,0.2,1.2,0.6,False,False,True
0.11,0.2,1.2,0.6,False,False,True
0.12,0.2,1.2,0.6,False,False,True
0.13,0.2,1.2,0.6,False,False,True
0.14,0.2,1.2,0.6,False,False,True
0.15,0.2,1.2,0.6,False,False,True
0.16,0.2,1.2,0.6,False,False,True
0.17,0.2,1.2,0.6,False,False,True
0.18,0.2,1.2,0.6,False,False,True
0.19,0.2,1.2,0.6,False,False,True
0.2,0.2,1.2,0.6,False,False,True
0.21,0.2,1.2,0.6,False,False,True
0.22,0.2,1.2,0.6,False,False,True
0.23,0.2,1.2,0.6,False,False,True
0.24,0.2,1.2,0.6,False,False,True
0.25,0.2,1.2,0.6,False,False,True
0.26,0.2,1.2,0.6,False,False,True
0.27,0.2,1.2,0.6,False,False,True
0.28,0.2,1.2,0.6,False,False,True
0.29,0.2,1.2,0.6,False,False,True
0.3,0.2,1.2,0.6,False,False,True
0.31,0.2,1.2,0.6,False,False,True
0.32,0.2,1.2,0.6,False,False,True
0.33,0.2,1.2,0.6,False,False,True
0.34,0.2,1.2,0.6,False,False,True
0.35,0.2,1.2,0.6,False,False,True
0.36,0.2,1.2,0.6,False,False,True
0.37,0.2,1.2,0.6,False,False,True
0.38,0.2,1.2,0.6,False,False,True
0.39,0.2,1.2,0.6,False,False,True
0.4,0.2,1.2,0.6,False,False,True
0.41,0.2,1.2,0.6,False,False,True
0.42,0.2,1.2,0.6,False,False,True
0.43,0.2,1.2,0.6,False,False,True
0.44,0.2,1.2,0.6,False,False,True
0.45,0.2,1.2,0.6,False,False,True
0.46,0.2,1.2,0.6,False,False,True
0.47,0.2,1.2,0.6,False,False,True
0.48,0.2,1.2,0.6,False,False,True
0.49,0.2,1.2,0.6,False,False,True
0.5,0.2,1.2,0.6,False,False,True
0.51,0.2,1.2,0.6,False,False,True
0.52,0.2,1.2,0.6,False,False,True
0.53,0.2,1.2,0.6,False,False,True
0.54,0.2,1.2,0.6,False,False,True
0.55,0.2,1.2,0.6,False,False,True
0.56,0.2,1.2,0.6,False,False,True
0.57,0.2,1.2,0.6,False,False,True
0.58,0.2,1.2,0.6,False,False,True
0.59,0.2,1.2,0.6,False,False,True
0.6,0.2,1.2,0.6,True,True,True
0.61,0.2,1.2,0.6,True,True,True
0.62,0.2,1.2,0.6,True,True,True
0.63,0.2,1.2,0.6,True,True,True
0.64,0.2,1.2,0.6,True,True,True
0.65,0.2,1.2,0.6,True,True,True
0.66,0.2,1.2,0.6,True,True,True
0.67,0.2,1.2,0.6,True,True,True
0.68,0.2,1.2,0.6,True,True,True
0.69,0.2,1.2,0.6,True,True,True
0.7,0.2,1.2,0.6,True,True,True
0.71,0.2,1.2,0.6,True,True,True
0.72,0.2,1.2,0.6,True,True,True
0.73,0.2,1.2,0.6,True,True,True
0.74,0.2,1.2,0.6,True,True,True
0.75,0.2,1.2,0.6,True,True,True
0.76,0.2,1.2,0.6,True,True,True
0.77,0.2,1.2,0.6,True,True,True
0.78,0.2,1.2,0.6,True,True,True
0.79,0.2,1.2,0.6,True,True,True
0.8,0.2,1.2,0.6,True,True,True
0.81,0.2,1.2,0.6,True,True,True
0.82,0.2,1.2,0.6,True,True,True
0.83,0.2,1.2,0.6,True,True,True
0.84,0.2,1.2,0.6,True,True,True
0.85,0.2,1.2,0.6,True,True,True
0.86,0.2,1.2,0.6,True,True,True
0.87,0.2,1.2,0.6,True,True,True
0.88,0.2,1.2,0.6,True,True,True
0.89,0.2,1.2,0.6,True,True,True
0.9,0.2,1.2,0.6,True,True,True
0.91,0.2,1.2,0.6,True,True,True
0.92,0.2,1.2,0.6,True,True,True
0.93,0.2,1.2,0.6,True,True,True
0.94,0.2,1.2,0.6,True,True,True
0.95,0.2,1.2,0.6,True,True,True
0.96,0.2,1.2,0.6,True,True,True
0.97,0.2,1.2,0.6,True,True,True
0.98,0.2,1.2,0.6,True,True,True
0.99,0.2,1.2,0.6,True,True,True
0.01,0.25,1.2,0.625,False,False,True
0.02,0.25,1.2,0.625,False,False,True
0.03,0.25,1.2,0.625,False,False,True
0.04,0.25,1.2,0.625,False,False,True
0.05,0.25,1.2,0.625,False,False,True
0.06,0.25,1.2,0.625,False,False,True
0.07,0.25,1.2,0.625,False,False,True
0.08,0.25,1.2,0.625,False,False,True
0.09,0.25,1.2,0.625,False,False,True
0.1,0.25,1.2,0.625,False,False,True
0.11,0.25,1.2,0.625,False,False,True
0.12,0.25,1.2,0.625,False,False,True
0.13,0.25,1.2,0.625,False,False,True
0.14,0.25,1.2,0.625,False,False,True
0.15,0.25,1.2,0.625,False,False,True
0.16,0.25,1.2,0.625,False,False,True
0.17,0.25,1.2,0.625,False,False,True
0.18,0.25,1.2,0.625,False,False,True
0.19,0.25,1.2,0.625,False,False,True
0.2,0.25,1.2,0.625,False,False,True
0.21,0.25,1.2,0.625,False,False,True
0.22,0.25,1.2,0.625,False,False,True
0.23,0.25,1.2,0.625,False,False,True
0.24,0.25,1.2,0.625,False,False,True
0.25,0.25,1.2,0.625,False,False,True
0.26,0.25,1.2,0.625,False,False,True
0.27,0.25,1.2,0.625,False,False,True
0.28,0.25,1.2,0.625,False,False,True
0.29,0.25,1.2,0.625,False,False,True
0.3,0.25,1.2,0.625,False,False,True
0.31,0.25,1.2,0.625,False,False,True
0.32,0.25,1.2,0.625,False,False,True
0.33,0.25,1.2,0.625,False,False,True
0.34,0.25,1.2,0.625,False,False,True
0.35,0.25,1.2,0.625,False,False,True
0.36,0.25,1.2,0.625,False,False,True
0.37,0.25,1.2,0.625,False,False,True
0.38,0.25,1.2,0.625,False,False,True
0.39,0.25,1.2,0.625,False,False,True
0.4,0.25,1.2,0.625,False,False,True
0.41,0.25,1.2,0.625,False,False,True
0.42,0.25,1.2,0.625,False,False,True
0.43,0.25,1.2,0.625,False,False,True
0.44,0.25,1.2,0.625,False,False,True
0.45,0.25,1.2,0.625,False,False,True
0.46,0.25,1.2,0.625,False,False,True
0.47,0.25,1.2,0.625,False,False,True
0.48,0.25,1.2,0.625,False,False,True
0.49,0.25,1.2,0.625,False,False,True
0.5,0.25,1.2,0.625,False,False,True
0.51,0.25,1.2,0.625,False,False,True
0.52,0.25,1.2,0.625,False,False,True
0.53,0.25,1.2,0.625,False,False,True
0.54,0.25,1.2,0.625,False,False,True
0.55,0.25,1.2,0.625,False,False,True
0.56,0.25,1.2,0.625,False,False,True
0.57,0.25,1.2,0.625,False,False,True
0.58,0.25,1.2,0.625,False,False,True
0.59,0.25,1.2,0.625,False,False,True
0.6,0.25,1.2,0.625,False,False,True
0.61,0.25,1.2,0.625,False,False,True
0.62,0.25,1.2,0.625,False,False,True
0.63,0.25,1.2,0.625,True,True,True
0.64,0.25,1.2,0.625,True,True,True
0.65,0.25,1.2,0.625,True,True,True
0.66,0.25,1.2,0.625,True,True,True
0.67,0.25,1.2,0.625,True,True,True
0.68,0.25,1.2,0.625,True,True,True
0.69,0.25,1.2,0.625,True,True,True
0.7,0.25,1.2,0.625,True,True,True
0.71,0.25,1.2,0.625,True,True,True
0.72,0.25,1.2,0.625,True,True,True
0.73,0.25,1.2,0.625,True,True,True
0.74,0.25,1.2,0.625,True,True,True
0.75,0.25,1.2,0.625,True,True,True
0.76,0.25,1.2,0.625,True,True,True
0.77,0.25,1.2,0.625,True,True,True
0.78,0.25,1.2,0.625,True,True,True
0.79,0.25,1.2,0.625,True,True,True
0.8,0.25,1.2,0.625,True,True,True
0.81,0.25,1.2,0.625,True,True,True
0.82,0.25,1.2,0.625,True,True,True
0.83,0.25,1.2,0.625,True,True,True
0.84,0.25,1.2,0.625,True,True,True
0.85,0.25,1.2,0.625,True,True,True
0.86,0.25,1.2,0.625,True,True,True
0.87,0.25,1.2,0.625,True,True,True
0.88,0.25,1.2,0.625,True,True,True
0.89,0.25,1.2,0.625,True,True,True
0.9,0.25,1.2,0.625,True,True,True
0.91,0.25,1.2,0.625,True,True,True
0.92,0.25,1.2,0.625,True,True,True
0.93,0.25,1.2,0.625,True,True,True
0.94,0.25,1.2,0.625,True,True,True
0.95,0.25,1.2,0.625,True,True,True
0.96,0.25,1.2,0.625,True,True,True
0.97,0.25,1.2,0.625,True,True,True
0.98,0.25,1.2,0.625,True,True,True
0.99,0.25,1.2,0.625,True,True,True
0.01,0.3,1.2,0.65,False,False,True
0.02,0.3,1.2,0.65,False,False,True
0.03,0.3,1.2,0.65,False,False,True
0.04,0.3,1.2,0.65,False,False,True
0.05,0.3,1.2,0.65,False,False,True
0.06,0.3,1.2,0.65,False,False,True
0.07,0.3,1.2,0.65,False,False,True
0.08,0.3,1.2,0.65,False,False,True
0.09,0.3,1.2,0.65,False,False,True
0.1,0.3,1.2,0.65,False,False,True
0.11,0.3,1.2,0.65,False,False,True
0.12,0.3,1.2,0.65,False,False,True
0.13,0.3,1.2,0.65,False,False,True
0.14,0.3,1.2,0.65,False,False,True
0.15,0.3,1.2,0.65,False,False,True
0.16,0.3,1.2,0.65,False,False,True
0.17,0.3,1.2,0.65,False,False,True
0.18,0.3,1.2,0.65,False,False,True
0.19,0.3,1.2,0.65,False,False,True
0.2,0.3,1.2,0.65,False,False,True
0.21,0.3,1.2,0.65,False,False,True
0.22,0.3,1.2,0.65,False,False,True
0.23,0.3,1.2,0.65,False,False,True
0.24,0.3,1.2,0.65,False,False,True
0.25,0.3,1.2,0.65,False,False,True
0.26,0.3,1.2,0.65,False,False,True
0.27,0.3,1.2,0.65,False,False,True
0.28,0.3,1.2,0.65,False,False,True
0.29,0.3,1.2,0.65,False,False,True
0.3,0.3,1.2,0.65,False,False,True
0.31,0.3,1.2,0.65,False,False,True
0.32,0.3,1.2,0.65,False,False,True
0.33,0.3,1.2,0.65,False,False,True
0.34,0.3,1.2,0.65,False,False,True
0.35,0.3,1.2,0.65,False,False,True
0.36,0.3,1.2,0.65,False,False,True
0.37,0.3,1.2,0.65,False,False,True
0.38,0.3,1.2,0.65,False,False,True
