strategy_A,strategy_B,strategy_profile,m,expected_platform_payoff_A,expected_platform_payoff_B,expected_user_mobility_payoff,expected_total_platform_payoff,expected_social_welfare,phase2_pure_bne_at_benchmark,welfare_rank_at_m
PP,PP,"(PP,PP)",1.2,1.5,1.5,1.2,3.0,4.2,False,1
LL,LL,"(LL,LL)",1.3,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.3,0.8399999999999999,0.8399999999999999,0.6369999999999999,1.6799999999999997,2.3169999999999997,True,2
PP,PP,"(PP,PP)",1.3,1.5,1.5,1.2999999999999998,3.0,4.3,False,1
LL,LL,"(LL,LL)",1.4,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.4,0.8399999999999999,0.8399999999999999,0.6859999999999998,1.6799999999999997,2.3659999999999997,True,2
PP,PP,"(PP,PP)",1.4,1.5,1.5,1.4,3.0,4.4,False,1
LL,LL,"(LL,LL)",1.5,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.5,0.8399999999999999,0.8399999999999999,0.7349999999999999,1.6799999999999997,2.4149999999999996,True,2
PP,PP,"(PP,PP)",1.5,1.5,1.5,1.4999999999999998,3.0,4.5,False,1
LL,LL,"(LL,LL)",1.6,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.6,0.8399999999999999,0.8399999999999999,0.7839999999999999,1.6799999999999997,2.4639999999999995,True,2
PP,PP,"(PP,PP)",1.6,1.5,1.5,1.6000000000000003,3.0,4.6000000000000005,False,1
LL,LL,"(LL,LL)",1.7,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.7,0.8399999999999999,0.8399999999999999,0.8329999999999999,1.6799999999999997,2.5129999999999995,True,2
PP,PP,"(PP,PP)",1.7,1.5,1.5,1.7,3.0,4.7,False,1
LL,LL,"(LL,LL)",1.8,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.8,0.8399999999999999,0.8399999999999999,0.8819999999999999,1.6799999999999997,2.5619999999999994,True,2
PP,PP,"(PP,PP)",1.8,1.5,1.5,1.8000000000000003,3.0,4.800000000000001,False,1
LL,LL,"(LL,LL)",1.9,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.9,0.8399999999999999,0.8399999999999999,0.9309999999999998,1.6799999999999997,2.6109999999999998,True,2
PP,PP,"(PP,PP)",1.9,1.5,1.5,1.9,3.0,4.9,False,1
LL,LL,"(LL,LL)",2.0,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.0,0.8399999999999999,0.8399999999999999,0.9799999999999999,1.6799999999999997,2.6599999999999997,True,2
PP,PP,"(PP,PP)",2.0,1.5,1.5,2.0,3.0,5.0,False,1
LL,LL,"(LL,LL)",2.1,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.1,0.8399999999999999,0.8399999999999999,1.029,1.6799999999999997,2.7089999999999996,True,2
PP,PP,"(PP,PP)",2.1,1.5,1.5,2.1,3.0,5.1,False,1
LL,LL,"(LL,LL)",2.2,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.2,0.8399999999999999,0.8399999999999999,1.0779999999999998,1.6799999999999997,2.7579999999999996,True,2
PP,PP,"(PP,PP)",2.2,1.5,1.5,2.2,3.0,5.2,False,1
LL,LL,"(LL,LL)",2.3,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.3,0.8399999999999999,0.8399999999999999,1.1269999999999998,1.6799999999999997,2.8069999999999995,True,2
PP,PP,"(PP,PP)",2.3,1.5,1.5,2.3,3.0,5.3,False,1
LL,LL,"(LL,LL)",2.4,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.4,0.8399999999999999,0.8399999999999999,1.1759999999999997,1.6799999999999997,2.8559999999999994,True,2
PP,PP,"(PP,PP)",2.4,1.5,1.5,2.4,3.0,5.4,False,1
LL,LL,"(LL,LL)",2.5,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.5,0.8399999999999999,0.8399999999999999,1.2249999999999999,1.6799999999999997,2.9049999999999994,True,2
PP,PP,"(PP,PP)",2.5,1.5,1.5,2.5,3.0,5.5,False,1
LL,LL,"(LL,LL)",2.6,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.6,0.8399999999999999,0.8399999999999999,1.2739999999999998,1.6799999999999997,2.9539999999999997,True,2
PP,PP,"(PP,PP)",2.6,1.5,1.5,2.5999999999999996,3.0,5.6,False,1
LL,LL,"(LL,LL)",2.7,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.7,0.8399999999999999,0.8399999999999999,1.323,1.6799999999999997,3.0029999999999997,True,2
PP,PP,"(PP,PP)",2.7,1.5,1.5,2.7,3.0,5.7,False,1
LL,LL,"(LL,LL)",2.8,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.8,0.8399999999999999,0.8399999999999999,1.3719999999999997,1.6799999999999997,3.0519999999999996,True,2
PP,PP,"(PP,PP)",2.8,1.5,1.5,2.8,3.0,5.8,False,1
LL,LL,"(LL,LL)",2.9,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",2.9,0.8399999999999999,0.8399999999999999,1.4209999999999998,1.6799999999999997,3.1009999999999995,True,2
PP,PP,"(PP,PP)",2.9,1.5,1.5,2.9,3.0,5.9,False,1
LL,LL,"(LL,LL)",3.0,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.0,0.8399999999999999,0.8399999999999999,1.4699999999999998,1.6799999999999997,3.1499999999999995,True,2
PP,PP,"(PP,PP)",3.0,1.5,1.5,2.9999999999999996,3.0,6.0,False,1
LL,LL,"(LL,LL)",3.1,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.1,0.8399999999999999,0.8399999999999999,1.519,1.6799999999999997,3.199,True,2
PP,PP,"(PP,PP)",3.1,1.5,1.5,3.1,3.0,6.1,False,1
LL,LL,"(LL,LL)",3.2,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.2,0.8399999999999999,0.8399999999999999,1.5679999999999998,1.6799999999999997,3.2479999999999993,True,2
PP,PP,"(PP,PP)",3.2,1.5,1.5,3.2000000000000006,3.0,6.200000000000001,False,1
LL,LL,"(LL,LL)",3.3,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.3,0.8399999999999999,0.8399999999999999,1.6169999999999998,1.6799999999999997,3.2969999999999997,True,2
PP,PP,"(PP,PP)",3.3,1.5,1.5,3.3,3.0,6.3,False,1
LL,LL,"(LL,LL)",3.4,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.4,0.8399999999999999,0.8399999999999999,1.6659999999999997,1.6799999999999997,3.345999999999999,True,2
PP,PP,"(PP,PP)",3.4,1.5,1.5,3.4,3.0,6.4,False,1
LL,LL,"(LL,LL)",3.5,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.5,0.8399999999999999,0.8399999999999999,1.7149999999999999,1.6799999999999997,3.3949999999999996,True,2
PP,PP,"(PP,PP)",3.5,1.5,1.5,3.5000000000000004,3.0,6.5,False,1
LL,LL,"(LL,LL)",3.6,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.6,0.8399999999999999,0.8399999999999999,1.7639999999999998,1.6799999999999997,3.4439999999999995,True,2
PP,PP,"(PP,PP)",3.6,1.5,1.5,3.6000000000000005,3.0,6.6000000000000005,False,1
LL,LL,"(LL,LL)",3.7,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.7,0.8399999999999999,0.8399999999999999,1.813,1.6799999999999997,3.4929999999999994,True,2
PP,PP,"(PP,PP)",3.7,1.5,1.5,3.7,3.0,6.7,False,1
LL,LL,"(LL,LL)",3.8,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.8,0.8399999999999999,0.8399999999999999,1.8619999999999997,1.6799999999999997,3.5419999999999994,True,2
PP,PP,"(PP,PP)",3.8,1.5,1.5,3.8,3.0,6.8,False,1
LL,LL,"(LL,LL)",3.9,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",3.9,0.8399999999999999,0.8399999999999999,1.9109999999999998,1.6799999999999997,3.5909999999999993,True,2
PP,PP,"(PP,PP)",3.9,1.5,1.5,3.9,3.0,6.9,False,1
LL,LL,"(LL,LL)",4.0,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",4.0,0.8399999999999999,0.8399999999999999,1.9599999999999997,1.6799999999999997,3.6399999999999997,True,2
PP,PP,"(PP,PP)",4.0,1.5,1.5,4.0,3.0,7.0,False,1
