p,q_star,x_star,x_star_exact,interior_mixed_exists,high_type_prefers_locked,collapses_to_boundary_pure_pl,status
0.48,0.6,1.25,5/4,False,True,False,infeasible_x_above_one
0.49,0.6,1.2244897959183674,60/49,False,True,False,infeasible_x_above_one
0.5,0.6,1.2,6/5,False,True,False,infeasible_x_above_one
0.51,0.6,1.1764705882352942,20/17,False,True,False,infeasible_x_above_one
0.52,0.6,1.1538461538461537,15/13,False,True,False,infeasible_x_above_one
0.53,0.6,1.1320754716981132,60/53,False,True,False,infeasible_x_above_one
0.54,0.6,1.111111111111111,10/9,False,True,False,infeasible_x_above_one
0.55,0.6,1.0909090909090908,12/11,False,True,False,infeasible_x_above_one
0.56,0.6,1.0714285714285714,15/14,False,True,False,infeasible_x_above_one
0.57,0.6,1.0526315789473684,20/19,False,True,False,infeasible_x_above_one
0.58,0.6,1.0344827586206897,30/29,False,True,False,infeasible_x_above_one
0.59,0.6,1.0169491525423728,60/59,False,True,False,infeasible_x_above_one
0.6,0.6,1.0,1,False,True,True,boundary_x_equals_one_pure_pl
0.61,0.6,0.9836065573770492,60/61,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.62,0.6,0.9677419354838709,30/31,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.63,0.6,0.9523809523809523,20/21,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.64,0.6,0.9375,15/16,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.65,0.6,0.923076923076923,12/13,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.66,0.6,0.9090909090909091,10/11,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.67,0.6,0.8955223880597014,60/67,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.68,0.6,0.8823529411764705,15/17,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.69,0.6,0.8695652173913044,20/23,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.7,0.6,0.8571428571428572,6/7,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.71,0.6,0.8450704225352113,60/71,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.72,0.6,0.8333333333333334,5/6,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.73,0.6,0.821917808219178,60/73,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.74,0.6,0.8108108108108107,30/37,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.75,0.6,0.7999999999999999,4/5,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.76,0.6,0.7894736842105263,15/19,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.77,0.6,0.7792207792207791,60/77,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.78,0.6,0.7692307692307692,10/13,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.79,0.6,0.7594936708860759,60/79,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.8,0.6,0.7499999999999999,3/4,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.81,0.6,0.7407407407407407,20/27,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.82,0.6,0.7317073170731707,30/41,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.83,0.6,0.7228915662650602,60/83,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.84,0.6,0.7142857142857143,5/7,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.85,0.6,0.7058823529411765,12/17,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.86,0.6,0.6976744186046512,30/43,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.87,0.6,0.689655172413793,20/29,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.88,0.6,0.6818181818181818,15/22,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.89,0.6,0.6741573033707865,60/89,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.9,0.6,0.6666666666666666,2/3,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.91,0.6,0.6593406593406593,60/91,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.92,0.6,0.6521739130434782,15/23,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.93,0.6,0.6451612903225806,20/31,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.94,0.6,0.6382978723404256,30/47,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.95,0.6,0.631578947368421,12/19,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.96,0.6,0.625,5/8,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.97,0.6,0.6185567010309279,60/97,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.98,0.6,0.6122448979591837,30/49,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
0.99,0.6,0.6060606060606061,20/33,True,True,False,interior_symmetric_type_specific_mixed_equilibrium
